"Crude oil production, per capita (toe)",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,2.22100105325823,2.76961628238704,3.1080214010928,3.31421157468154,3.35739375562546,3.50700939933516,2.6188967032002,3.43121498830977,3.38072985312414,3.05041111141959,2.85637676404863,3.0606067515889,3.16693980599725,3.27590350754359,3.16113818112229,2.75102081478166,2.40865040329593,2.33120126307945,2.20905046037457,2.30820876337361,2.26248193412904,2.27639593731271,2.24967700879587,2.22876936890616,2.21565503626141,2.2718916366545,2.22440240395888,2.1323166692453,2.08576379532897,2.03156013425925,2.00045306748567,2.06142699506424,2.06292689610958,2.08194503859209,2.12399012459214,2.18731179684748,2.12221760523635,2.2547656868006,2.47560104886145,2.57904914821709,2.62820755092464,2.58152008714435,2.5505944933148,2.48693234263717,2.22736874511707,2.12869891876553,2.06534360338081
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,0.120600942528587,0.114226958648393,0.095598516140127,0.131275953255959,0.422679416062712,0.854660040196864,0.945973832191088,1.14196759219928,1.29306376868536,1.31911491883296,1.17379963506899,1.11090712822283,1.01030216360886,0.900324389563641,0.972942601386362,0.97245241817025,0.905689827425472,0.782492290436724,1.03513061369938,1.14651177718203,1.26324214648799,1.4937972979496,1.83063614449163,2.27762539184953,2.25236001908766,2.26220438948928,2.3010245914142,2.46780169973216,2.18172225031328,2.33535667327488,2.57519451504138,2.8398603518507,2.85329297760822,2.74008782742622,2.71618963740349,2.64605866868567,2.54026829125222,2.99520351064714,2.77774883767577,3.41308755260335,4.18702015679691,4.09375941689326,4.70913876772706,5.18232089094559,4.79988486487531,4.81991594321593,4.34501812607013
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,0.617347099332222,0.647332585503062,0.695677354849982,0.751406135813535,0.766684204366834,0.833933148201319,0.884918182346719,0.896178191262821,0.856434122154622,0.824223578789213,0.77689944821847,0.770556628887518,0.820172510008068,0.850084650729988,0.876092366412029,0.898190556863827,0.901084478903124,0.881737093224437,0.871615521544641,0.840868719864569,0.795889493186293,0.74222410983089,0.721865407798,0.747570406774141,0.75278327541351,0.779247818657008,0.782085249830488,0.86584461423482,0.914242704599854,1.00263355819255,1.07464521851234,1.15668289440397,1.21477453327421,1.21844486422523,1.14444524527625,1.09488079792703,1.1135293236448,1.08614993096643,1.05899145267612,0.985604988739809,0.936948602782338,0.916548152041264,0.887599566415135,0.859232912824802,0.843084438550344,0.805436105128276,0.742927619540574
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,0.030476512763481,0.038314515692555,0.087336331177,0.158852389123706,0.178659094246478,0.68387488084252,1.17459065390813,1.22989610531417,1.51381869869288,1.4739361504457,1.55668212009032,1.57385130773692,1.64639529600021,1.61276461829941,1.60119380890121,1.48462774932136,1.42743171676015,1.38813740120214,1.33157577955664,1.71397328196346,1.9507879210857,1.71646681597336,1.79311961198019,1.67390630809392,1.55474781970688,1.77573704002886,1.65901837082262,1.61264862751482,1.48907730185158,1.58385226887544,1.47274081388242,1.54035626316252,1.62261757601579,1.52698177485165,1.46916786124585,1.95617421315925,1.78137753581916,1.7500235047325,1.49735317718581,1.28930846645231,1.25391987096725,1.14727225925823,1.16982290264412,1.13214320302764,1.03071384940999,1.10592826079177,0.931020450400514
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,1.98346334288384,1.92595535502663,2.02116777290851,1.96574735310831,1.85366498160632,1.7332964302968,1.60676731849713,1.50360096294282,1.35561998525537,1.24682273898642,1.17990191116369,1.15997965663562,1.14068123955292,1.43549464570152,1.72290862700689,1.73461724682251,1.82861085637439,1.86334908647708,1.85346721687321,1.84452976225013,2.60827382520201,3.73122827799886,4.85024847489154,5.00341025985061,5.58413050796086,5.53323908498927,4.90118066546794
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,0.05964400961619,0.070875478158286,0.086888057433761,0.093056992430688,0.098983061090547,0.091592087531349,0.093481964345629,0.089411742399815,0.088624366962442,0.090074277354963,0.086153304042552,0.081976748415508,0.077046228412966,0.074800635778698,0.07574315017638,0.081186692208886,0.092548503500262,0.110225728725439,0.136725122691015,0.186818641816803,0.215947811113495,0.222682759392478,0.217054855714301,0.208286211435414,0.218593651245565,0.227824612553364,0.221503364275699,0.221050359310395,0.221538828067214,0.227358988201652,0.232112632871403,0.258288665610032,0.272688271784795,0.310620649373712,0.345938465114492,0.382803359214547,0.396364190512413,0.438422186611465,0.447869528723617,0.439329978958488,0.480279483629247,0.501188232666419,0.503165015475336,0.518122268752047,0.548731387324804,0.573012423295942,0.582511962687257
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,39.8345735657593,45.7179913705646,47.3389858022964,53.214880478101,51.5152797523776,53.9597344178146,48.8636181650547,66.0582777458616,79.653824079503,64.9179805439505,58.5380830624618,65.0794052009258,65.3634465773467,66.4985273678244,69.6271160959855,61.8874326897744,43.3187339859303,43.1014168366113,41.8900856047484,39.2065935239456,36.9911004106785,35.4808092084759,32.3527205032346,30.4403185371345,29.4601353566846,29.0351521603158,30.5773335752927,33.1706126673287,30.8495457189239,30.720321951031,29.2258685990555,26.9704707877827,25.905060625241,24.3279664766424,27.692429667098,28.8186906603588,29.5987230130339,29.9906801674945,29.9810021108217,28.8656700191118,27.6918243813906,29.0810652241436,25.0620975063323,22.1652843786099,20.9039706316136,21.0426411927878,19.8887757470814
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
