Natural Gas Proved reserves total (tonnes oil equivalent),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Denmark,"7,38,00,000","7,38,00,000","7,38,00,000","8,82,00,000","9,27,00,000","8,19,00,000","6,39,00,000","6,30,00,000","7,11,00,000","9,72,00,000","8,91,00,000","9,09,00,000","11,61,00,000","11,34,00,000","11,16,00,000","10,80,00,000","10,26,00,000","9,99,00,000","9,36,00,000","12,78,00,000","12,96,00,000","12,69,00,000","11,61,00,000","12,24,00,000","11,88,00,000","10,98,00,000","10,80,00,000","6,21,00,000","4,95,00,000"
Egypt,"7,56,00,000","7,47,00,000","18,27,00,000","18,00,00,000","21,15,00,000","22,95,00,000","26,10,00,000","27,63,00,000","29,61,00,000","31,59,00,000","34,11,00,000","35,64,00,000","39,24,00,000","53,55,00,000","56,79,00,000","58,05,00,000","76,41,00,000","83,43,00,000","91,80,00,000","1,10,07,00,000","1,28,97,00,000","1,40,13,00,000","1,49,13,00,000","1,55,23,20,000","1,68,30,00,000","1,70,55,00,000","1,84,23,00,000","1,86,30,00,000","1,95,30,00,000"
Germany,"23,85,00,000","22,32,00,000","21,69,00,000","28,80,00,000","27,54,00,000","26,64,00,000","34,38,00,000","33,84,00,000","32,67,00,000","31,59,00,000","19,53,00,000","17,55,00,000","17,82,00,000","17,82,00,000","19,98,00,000","19,80,00,000","20,07,00,000","23,67,00,000","23,40,00,000","24,30,00,000","23,76,00,000","21,33,00,000","20,16,00,000","18,63,00,000","17,19,00,000","16,02,00,000","13,95,00,000","12,39,30,000","10,76,40,000"
India,"30,87,00,000","36,99,00,000","37,80,00,000","41,58,00,000","43,02,00,000","43,20,00,000","48,69,00,000","49,68,00,000","54,00,00,000","61,74,00,000","63,00,00,000","65,70,00,000","66,15,00,000","64,62,00,000","63,18,00,000","60,84,99,000","57,71,79,000","62,30,34,000","60,72,84,000","58,31,64,000","68,38,29,000","68,66,55,000","67,56,39,000","76,86,00,000","83,07,00,000","99,09,00,000","96,75,00,000","94,95,00,000","98,10,00,000"
Indonesia,"73,98,00,000","77,73,03,000","86,40,00,000","1,07,03,70,000","1,52,91,18,000","1,78,39,80,000","2,03,85,00,000","2,13,03,00,000","2,30,45,40,000","2,29,74,30,000","2,57,72,40,000","1,65,60,00,000","1,63,80,00,000","1,63,80,00,000","1,63,80,00,000","1,75,50,00,000","1,84,50,00,000","1,93,68,00,000","1,96,29,00,000","2,35,80,00,000","2,41,38,00,000","2,34,27,00,000","2,30,13,00,000","2,30,13,00,000","2,49,21,00,000","2,23,02,00,000","2,36,88,00,000","2,70,16,82,342","2,86,63,16,508"
Iran,"12,69,09,00,000","12,67,65,00,000","12,66,21,00,000","12,64,05,00,000","12,61,44,00,000","12,58,74,00,000","12,55,95,00,000","12,52,98,00,000","12,78,00,00,000","15,30,00,00,000","15,30,27,00,000","17,82,00,00,000","18,63,00,00,000","18,63,00,00,000","18,68,76,00,000","17,41,50,00,000","20,70,00,00,000","20,70,00,00,000","21,69,00,00,000","22,50,00,00,000","23,40,00,00,000","23,49,00,00,000","24,02,10,00,000","24,81,30,00,000","24,75,00,00,000","24,82,20,00,000","24,16,50,00,000","25,31,70,00,000","26,64,90,00,000"
Iraq,"69,96,60,000","69,58,35,000","73,40,67,000","73,90,80,000","73,62,00,000","73,90,80,000","73,90,71,000","90,00,00,000","2,42,10,00,000","2,80,35,00,000","2,79,63,00,000","2,79,00,00,000","2,79,00,00,000","2,79,00,00,000","2,80,35,00,000","3,02,40,00,000","3,02,40,00,000","2,86,92,00,000","2,86,92,00,000","2,95,65,00,000","2,79,81,00,000","2,79,81,00,000","2,87,10,00,000","2,85,30,00,000","2,85,30,00,000","2,85,30,00,000","2,85,30,00,000","2,85,30,00,000","2,85,30,00,000"
Italy,"14,40,00,000","16,11,00,000","16,20,00,000","21,24,00,000","22,50,00,000","23,40,00,000","23,85,00,000","27,00,00,000","29,43,00,000","29,61,00,000","28,98,00,000","33,12,00,000","27,09,00,000","26,28,00,000","26,82,00,000","26,73,00,000","25,02,00,000","24,66,00,000","23,85,00,000","18,72,00,000","17,91,00,000","16,47,00,000","15,48,00,000","12,15,00,000","11,25,00,000","10,53,00,000","8,46,00,000","11,54,13,120","10,71,88,920"
Kazakhstan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,62,89,59,280","1,62,89,59,280","1,49,86,42,538","1,49,86,42,538","1,49,86,42,538","1,54,75,11,316","1,54,75,11,316","1,54,75,11,316","1,66,15,38,466","1,66,15,38,466","1,66,15,38,466","1,64,01,99,099"
Kuwait,"94,86,00,000","94,14,00,000","93,60,00,000","93,24,00,000","93,40,20,000","93,28,50,000","1,05,03,00,000","1,08,45,00,000","1,24,02,00,000","1,26,00,00,000","1,36,62,00,000","1,35,99,00,000","1,34,55,00,000","1,34,28,00,000","1,34,93,54,847","1,34,46,00,000","1,34,01,00,000","1,34,10,00,000","1,33,38,00,000","1,33,38,00,000","1,40,13,00,000","1,40,13,00,000","1,40,13,00,000","1,41,48,00,000","1,41,48,00,000","1,41,48,00,000","1,60,20,00,000","1,60,20,00,000","1,60,20,00,000"
Libya,"61,65,00,000","59,85,00,000","58,77,00,000","57,60,00,000","56,52,00,000","56,34,00,000","65,52,00,000","65,43,00,000","74,43,00,000","1,09,62,00,000","1,08,72,00,000","1,17,81,00,000","1,16,91,00,000","1,16,01,00,000","1,17,90,00,000","1,18,17,00,000","1,17,99,00,000","1,18,26,00,000","1,18,35,00,000","1,18,35,00,000","1,18,26,00,000","1,18,26,00,000","1,35,27,00,000","1,34,19,00,000","1,34,19,00,000","1,18,44,00,000","1,27,80,00,000","1,38,60,00,000","1,38,60,00,000"
Malaysia,"76,50,00,000","1,23,30,00,000","1,24,65,00,000","1,26,00,00,000","1,25,10,00,000","1,34,46,00,000","1,35,09,00,000","1,33,83,00,000","1,33,83,00,000","1,45,26,00,000","1,47,60,00,000","1,50,66,00,000","1,56,33,00,000","1,64,25,00,000","1,73,34,00,000","2,04,39,00,000","2,16,00,00,000","2,21,76,00,000","2,16,90,00,000","2,22,84,00,000","2,10,33,00,000","2,23,20,00,000","2,26,80,00,000","2,21,76,00,000","2,21,76,00,000","2,23,20,00,000","2,23,20,00,000","2,14,85,15,870","2,14,85,15,870"
Mexico,"1,64,43,00,000","1,92,06,00,000","1,92,06,00,000","1,96,29,00,000","1,95,48,00,000","1,95,03,00,000","1,93,14,00,000","1,90,71,00,000","1,87,02,00,000","1,85,40,00,000","1,82,25,00,000","1,80,81,00,000","1,78,47,00,000","1,77,57,00,000","1,74,33,00,000","1,72,44,00,000","1,62,90,00,000","1,61,73,00,000","76,59,00,000","77,49,00,000","75,15,00,000","71,73,00,000","38,16,00,000","37,89,00,000","37,71,00,000","36,72,00,000","34,91,66,160","46,06,95,328","44,97,87,677"
Myanmar,"8,37,00,000","13,14,00,000","13,14,00,000","22,05,00,000","23,40,00,000","24,12,00,000","24,12,00,000","24,12,00,000","24,03,00,000","23,94,00,000","23,85,00,000","25,02,00,000","25,02,00,000","24,12,00,000","24,12,00,000","24,12,00,000","25,38,00,000","25,47,00,000","25,65,00,000","25,83,00,000","25,83,00,000","31,05,00,000","40,05,00,000","36,45,00,000","43,65,00,000","48,42,00,000","48,42,00,000","44,49,70,981","44,49,70,981"
Netherlands,"1,42,02,00,000","1,39,50,00,000","1,36,35,00,000","1,74,60,00,000","1,71,00,00,000","1,66,95,00,000","1,63,35,00,000","1,59,30,00,000","1,55,70,00,000","1,55,25,00,000","1,77,30,00,000","1,75,50,00,000","1,73,70,00,000","1,68,75,00,000","1,66,05,00,000","1,63,35,00,000","1,58,85,00,000","1,60,83,00,000","1,59,39,00,000","1,54,26,00,000","1,48,95,00,000","1,45,44,00,000","1,41,03,00,000","1,34,28,00,000","1,30,41,00,000","1,24,83,00,000","1,18,44,00,000","1,25,10,00,000","1,25,10,00,000"
Nigeria,"1,04,50,26,000","1,03,22,82,000","1,24,65,09,000","1,23,30,00,000","1,21,95,00,000","1,20,60,00,000","2,16,00,00,000","2,16,63,00,000","2,22,84,00,000","2,54,88,00,000","2,55,60,00,000","3,06,00,00,000","3,34,45,80,000","3,31,47,00,000","3,10,50,00,000","3,12,66,00,000","3,12,75,00,000","3,13,47,00,000","3,16,08,00,000","3,16,08,00,000","3,69,54,00,000","4,16,97,00,000","4,49,73,00,000","4,54,95,00,000","4,70,61,00,000","4,63,68,00,000","4,69,35,00,000","4,69,35,00,000","4,69,35,00,000"
Norway,"1,18,26,00,000","1,26,81,00,000","1,29,60,00,000","1,83,51,00,000","2,01,24,00,000","2,00,52,00,000","2,06,64,00,000","2,05,65,00,000","2,06,82,00,000","2,06,55,00,000","2,02,59,00,000","2,11,77,00,000","2,48,04,00,000","2,52,45,00,000","2,58,12,00,000","2,70,00,00,000","2,70,00,00,000","3,28,86,00,000","3,40,65,00,000","3,42,72,00,000","3,45,69,00,000","3,44,97,00,000","3,30,03,00,000","2,86,92,00,000","2,84,31,00,000","2,70,63,00,000","2,60,28,00,000","2,59,02,00,000","2,61,72,00,000"
Oman,"7,29,00,000","7,02,00,000","7,47,00,000","14,85,00,000","19,35,00,000","19,62,00,000","20,61,00,000","24,48,00,000","25,47,00,000","25,11,00,000","25,20,00,000","8,37,00,000","13,50,00,000","18,00,00,000","23,04,00,000","40,77,00,000","55,53,00,000","48,78,00,000","51,12,00,000","74,70,00,000","77,31,00,000","85,14,00,000","85,14,00,000","89,10,00,000","89,55,00,000","89,55,00,000","88,20,00,000","88,20,00,000","88,20,00,000"
